日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-03,1045.28,953.64,1070.58,951.98,341767,38457604816.00,11.42,-8.13,-84.44,2.72
2020-01-10,945.94,987.58,991.07,942.38,209658,22899393632.00,5.11,3.56,33.94,1.67
2020-01-17,987.58,982.58,1004.28,976.09,146354,16308830816.00,2.85,-0.51,-5.00,1.17
2020-01-23,986.94,927.88,986.94,912.08,157934,16914909024.00,7.62,-5.57,-54.70,1.26
2020-02-07,860.08,951.08,952.08,855.08,311935,32121957232.00,10.45,2.50,23.20,2.48
2020-02-14,937.08,963.08,988.97,932.28,160222,17416967216.00,5.96,1.26,12.00,1.28
2020-02-21,957.58,987.96,999.08,953.08,166487,18342276112.00,4.78,2.58,24.88,1.33
2020-02-28,980.58,932.08,985.08,925.05,205042,22079281088.00,6.08,-5.66,-55.88,1.63
2020-03-06,925.19,1030.58,1051.08,925.09,244774,27583813456.00,13.52,10.57,98.50,1.95
2020-03-13,1010.08,987.11,1044.66,955.08,249531,28146935152.00,8.69,-4.22,-43.47,1.99
2020-03-20,979.06,910.36,983.03,835.18,366456,37654156800.00,14.98,-7.78,-76.75,2.92
2020-03-27,875.08,950.58,967.08,866.60,198481,20997060896.00,11.04,4.42,40.22,1.58
2020-04-03,935.33,1014.87,1023.04,932.08,184700,20516767312.00,9.57,6.76,64.29,1.47
2020-04-10,1037.03,1040.08,1056.58,1023.04,118334,13743778768.00,3.30,2.48,25.21,0.94
2020-04-17,1040.08,1101.08,1109.64,1023.58,142087,16961790688.00,8.27,5.86,61.00,1.13
2020-04-24,1096.08,1125.64,1140.76,1068.08,143519,17678366032.00,6.60,2.23,24.56,1.14
2020-04-30,1132.08,1140.78,1175.02,1126.04,108671,13854196688.00,4.35,1.35,15.14,0.87
2020-05-08,1126.08,1189.69,1213.08,1125.08,92848,12085436032.00,7.71,4.29,48.91,0.74
2020-05-15,1195.08,1188.08,1213.07,1176.96,110380,14626993760.00,3.04,-0.14,-1.61,0.88
2020-05-22,1181.08,1203.28,1247.04,1180.21,137812,18545456864.00,5.63,1.28,15.20,1.10
2020-05-29,1205.08,1241.68,1245.06,1196.08,137739,18594024416.00,4.07,3.19,38.40,1.10
2020-06-05,1256.08,1300.08,1303.96,1256.08,121382,17105756560.00,3.86,4.70,58.40,0.97
2020-06-12,1300.08,1291.45,1310.08,1258.39,133752,18887161568.00,3.98,-0.66,-8.63,1.06
2020-06-19,1277.08,1314.92,1320.28,1256.08,143244,20209361216.00,4.97,1.82,23.47,1.14
2020-06-24,1310.18,1352.12,1357.82,1308.28,82320,11970268384.00,3.77,2.83,37.20,0.66
2020-07-03,1340.11,1433.90,1444.61,1329.12,170219,25515256416.00,8.54,6.05,81.78,1.36
2020-07-10,1430.11,1605.96,1636.93,1423.92,243790,40715350272.00,14.86,12.00,172.06,1.94
2020-07-17,1606.79,1540.16,1679.11,1492.11,315678,53756649216.00,11.64,-4.10,-65.80,2.51
2020-07-24,1544.61,1487.41,1602.11,1477.11,239524,39472433920.00,8.12,-3.42,-52.75,1.91
2020-07-31,1508.12,1570.29,1597.11,1492.11,223506,37158779136.00,7.06,5.57,82.88,1.78
2020-08-07,1578.99,1523.11,1588.69,1490.61,159014,26296847984.00,6.25,-3.00,-47.18,1.27
2020-08-14,1520.08,1553.11,1558.54,1497.36,145570,23896021248.00,4.02,1.97,30.00,1.16
2020-08-21,1566.11,1568.11,1612.11,1548.11,148375,25078738848.00,4.12,0.97,15.00,1.18
2020-08-28,1592.11,1649.11,1656.11,1583.12,163957,28303972240.00,4.65,5.17,81.00,1.31
2020-09-04,1662.69,1662.11,1720.11,1638.11,172755,30921692160.00,4.97,0.79,13.00,1.38
2020-09-11,1652.11,1625.11,1670.10,1569.18,147414,25290701440.00,6.07,-2.23,-37.00,1.17
2020-09-18,1637.11,1587.11,1662.10,1527.12,185274,31556542192.00,8.31,-2.34,-38.00,1.47
2020-09-25,1584.87,1527.22,1584.87,1513.13,134069,22141762128.00,4.52,-3.77,-59.89,1.07
2020-09-30,1527.30,1560.61,1584.01,1527.30,68751,11450734048.00,3.71,2.19,33.39,0.55
2020-10-09,1584.11,1588.11,1598.53,1580.11,34240,5817280512.00,1.18,1.76,27.50,0.27
2020-10-16,1592.11,1604.11,1642.73,1592.11,120736,20940362400.00,3.19,1.01,16.00,0.96
2020-10-23,1617.11,1607.44,1639.70,1584.01,107635,18585265584.00,3.47,0.21,3.33,0.86
2020-10-30,1511.11,1562.13,1600.11,1492.11,210025,34730819584.00,6.72,-2.82,-45.31,1.67
